date of status	status	кол-во листов	#	ОФ	НФ	/	Место хранения		Код СС	Наименование документа	полнота	подлин.	способ воспроизв.	дата документа	примечания	дата сост. Архива	Автор: не Котс А.Ф.
6/26/2010	published		1	12430		1	1	of-12430-1	1.1	"Котс А.Ф. Эгитногнатизм , его развитие и таксономическое значение . (К вопросу о методологических основах современных классификаций). Рукопись .На 100 лл.(4 табл.)."	полная	оригинал	рукопись	[до 1912]	рукопись не прошита	февраль 1998 г.	
5/26/2011	scanned	6 лл.	118	12430		23	115	of-12430-23	1.1(А)	"Перечень научных трудов профессора А.Ф. Котса , (опубликованные и неопубликованные)."	полная	копия	машинопись	[1950]		март 1998 г.	
5/26/2011	scanned	4 лл.	120		2116	485	115	nvf-2116-485	1.1(С)	"Перечень научных трудов профессора А.Ф. Котса, /6 томов/."	полная	копия	машинопись	б/г			
5/26/2011	scanned	2 лл.	119		2116	551	115	nvf-2116-551	1.1(В)	"Перечень научных трудов профессора А.Ф. Котса , готовых к печати . + Дополнительный перечень статей , находящихся в машинописном оформлении ."	полная	копия	машинопись	[1950-ые]			
4/14/2013	docbook	13 лл.+ 4 лл.	5	10141		80	5	of-10141-80	1.1	"Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Вступительное слово к циклу лекций . Лекция I : ""Предшественники Дарвина"". Конспект лекции ."	полная	копия	машинопись	1939 осень	"правки в тексте ; Т. IV , гл. 4"	февраль 1998 г.	
3/17/2013	docbook	49 лл.	6	10141		81	6	of-10141-81	1.1	"Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Лекция II : ""Бигль , Дарвин и Дарвинизм"" . Текст лекции ."	полная	копия	машинопись	1939 сент.17	"Т. IV , гл. 5"	февраль 1998 г.	
8/16/2014	docbook	1 л.	7	10141		82	7	of-10141-82	1.1	"Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Конспект лекции III : ""Изменчивость по Дарвину"" .+ ""Изменчивость, наследственность, дарвинизм"" . Лекция в 2-х ч. Текст лекции ."	полная	копия	машинопись	1939 осень	текст лекции III отсутствует	февраль 1998 г.	
8/16/2014	docbook	1 л.	8	10141		83	8	of-10141-83	1.1	"Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"" . Лекция IV : ""Наследственность по Дарвину"". Текст лекции ."	неполная	копия	машинопись	1939 осень	"исправления в тексте ; Т. IV , гл. 7"	февраль 1998 г.	
5/26/2011	scanned	6	226		2116	389	216	nvf-2116-389	1.2	Речь А.Ф. Котса о ГДМ [в Лондоне] .	полная	копия	машинопись	[1945]	текст на англ. и параллельно на рус. языках	апрель 1998 г.	
5/26/2011	scanned		851	10141		550	820	of-10141-550	3.1	"""Мой предзакатный ""мартиролог"" . Очерк ."	полная	копия	машинопись	1963 окт.15	2 экз.	октябрь 1998 г.	
