"id","collection","dc.contributor.author[en]","dc.contributor.author[ru]","dc.creator[en]","dc.creator[ru]","dc.date.created","dc.description[ru]","dc.identifier.other[en]","dc.identifier.other[ru]","dc.language.iso[en]","dc.publisher[en]","dc.publisher[ru]","dc.subject[en]","dc.subject[ru]","dc.title[ru]","dc.type[en]","sdm-archive.date.cataloged","sdm-archive.date.digitized","sdm-archive.date.textExtracted","sdm-archive.misc.archive-date","sdm-archive.misc.authenticity","sdm-archive.misc.classification-code","sdm-archive.misc.classification-group","sdm-archive.misc.completeness","sdm-archive.misc.document-type","sdm-archive.misc.fond","sdm-archive.misc.inventoryGroup","sdm-archive.misc.notes","sdm-archive.misc.storageItem"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","до 1912","ОФ-12430/1 Котс А.Ф. Эгитногнатизм, его развитие и таксономическое значение. (К вопросу о методологических основах современных классификаций). Рукопись .На 100 лл.(4 табл.). Время создания: до 1912. Полнота: полная. Подлинность: оригинал. Способ воспроизведения: рукопись. Примечания: рукопись не прошита.","Storage item 1 (inventory by Novikova N.A.)","Место хранения 1 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Котс А.Ф. Эгитногнатизм, его развитие и таксономическое значение. (К вопросу о методологических основах современных классификаций). Рукопись .На 100 лл.(4 табл.)","Text","2016-02-12","","","февраль 1998 г.","оригинал","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","рукопись","ОФ-12430","Novikova","рукопись не прошита","1"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","б/г","НВФ-6912/1 ""Комуфлетная окраска"". Очерк. Время создания: б/г. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: черновик, правки в тексте.","Storage item 2 (inventory by Novikova N.A.)","Место хранения 2 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""Комуфлетная окраска"". Очерк","Text","2016-02-12","2011-11-22","","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","НВФ-6912","Novikova","черновик, правки в тексте.","2"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1921-1922","НВФ-2116/503 ""Лекции по анатомии прог. проф. А.Ф. Котса"". Время создания: 1921-1922. Полнота: 2 тетради. Подлинность: оригинал. Способ воспроизведения: рукопись. Примечания: на обложке надпись - ""Эд. Плорин"".","Storage item 3 (inventory by Novikova N.A.)","Место хранения 3 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Лекции по анатомии прог. проф. А.Ф. Котса","Text","2016-02-12","2013-01-30||2013-01-29||2011-12-20||2013-03-05","","февраль 1998 г.","оригинал","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","2 тетради","рукопись","НВФ-2116","Novikova","на обложке надпись - ""Эд. Плорин"".","3"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1938 нояб.-дек.","НВФ-6912/2 Перечень цикла лекций проф. А.Ф. Котса для учащихся 7, 8 и 9 классов на тему : ""Эволюционное учение и дарвинизм"", прочитанных в клубе ""Каучук"". Краткое содержание лекций. Время создания: 1938 нояб.-дек. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись.","Storage item 4 (inventory by Novikova N.A.)","Место хранения 4 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Перечень цикла лекций проф. А.Ф. Котса для учащихся 7, 8 и 9 классов на тему : ""Эволюционное учение и дарвинизм"", прочитанных в клубе ""Каучук"". Краткое содержание лекций","Text","2016-02-12","2011-11-22","","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","НВФ-6912","Novikova","","4"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1939 осень","ОФ-10141/80 Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Вступительное слово к циклу лекций. Лекция I : ""Предшественники Дарвина"". Конспект лекции. Время создания: 1939 осень. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: правки в тексте; Т. IV, гл. 4.","Storage item 5 (inventory by Novikova N.A.)","Место хранения 5 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Вступительное слово к циклу лекций. Лекция I : ""Предшественники Дарвина"". Конспект лекции","Text","2016-02-12","2011-12-20","2013-04-14","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-10141","Novikova","правки в тексте; Т. IV, гл. 4","5"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1939 сент.17","ОФ-10141/81 Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Лекция II : ""Бигль, Дарвин и Дарвинизм"". Текст лекции. Время создания: 1939 сент.17. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т. IV, гл. 5.","Storage item 6 (inventory by Novikova N.A.)","Место хранения 6 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Лекция II : ""Бигль, Дарвин и Дарвинизм"". Текст лекции","Text","2016-02-12","2011-12-20","2013-03-17","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-10141","Novikova","Т. IV, гл. 5","6"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1939 осень","ОФ-10141/82 Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Конспект лекции III : ""Изменчивость по Дарвину"" .+ ""Изменчивость, наследственность, дарвинизм"". Лекция в 2-х ч. Текст лекции. Время создания: 1939 осень. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: текст лекции III отсутствует.","Storage item 7 (inventory by Novikova N.A.)","Место хранения 7 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Конспект лекции III : ""Изменчивость по Дарвину"" .+ ""Изменчивость, наследственность, дарвинизм"". Лекция в 2-х ч. Текст лекции","Text","2016-02-12","2012-03-27","2014-08-14","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-10141","Novikova","текст лекции III отсутствует","7"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1939 осень","ОФ-10141/83 Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Лекция IV : ""Наследственность по Дарвину"". Текст лекции. Время создания: 1939 осень. Полнота: неполная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: исправления в тексте; Т. IV, гл. 7.","Storage item 8 (inventory by Novikova N.A.)","Место хранения 8 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Лекция IV : ""Наследственность по Дарвину"". Текст лекции","Text","2016-02-12","2012-04-17","2014-08-14","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","неполная","машинопись","ОФ-10141","Novikova","исправления в тексте; Т. IV, гл. 7","8"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1939 осень","ОФ-10141/84 Из цикла лекций для педагогов ""Эволюционнное учение и дарвинизм"". Лекция V : ""Теория искуственного подбора"". Текст лекции. Время создания: 1939 осень. Полнота: неполная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: черновик, листы перепутаны; Т. IV, гл. 8.","Storage item 9 (inventory by Novikova N.A.)","Место хранения 9 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Из цикла лекций для педагогов ""Эволюционнное учение и дарвинизм"". Лекция V : ""Теория искуственного подбора"". Текст лекции","Text","2016-02-12","2016-01-25||2012-04-17","","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","неполная","машинопись","ОФ-10141","Novikova","черновик, листы перепутаны; Т. IV, гл. 8","9"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1939 осень","ОФ-10141/85 Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Лекция VI : ""Теория естественного отбора"". План лекции. Время создания: 1939 осень. Полнота: неполная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: исправления в тексте, листы возм. перепутаны; Т. IV, гл. 9.","Storage item 10 (inventory by Novikova N.A.)","Место хранения 10 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Лекция VI : ""Теория естественного отбора"". План лекции","Text","2016-02-12","2016-01-26||2012-04-17","","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","неполная","машинопись","ОФ-10141","Novikova","исправления в тексте, листы возм. перепутаны; Т. IV, гл. 9","10"
